EPAREGION	Site Name	State	County	NTL	PTL	MMI_WSABEST		
REGION__3	UNNAMED TRIB TO PINEY CREEK	MARYLAND	CARROLL	2381	64	19.28373677		
REGION__3	LIMEKILN RUN	WEST VIRGINIA	RANDOLPH	726	4	81.84493608		
REGION__3	LEFT FORK/BARNES RUN	WEST VIRGINIA	CALHOUN	185	7	42.31876616		
REGION__3	MAHANOY CREEK	PENNSYLVANIA	NORTHUMBERLAND	749	10	19.2077228		
REGION__3	TEAR COAT CREEK	WEST VIRGINIA	HAMPSHIRE	273	2	55.32943175		
REGION__3	REDSTONE CREEK	PENNSYLVANIA	FAYETTE	2384	302	2.305208382		
REGION__3	PERSIMMON CREEK	MARYLAND	ST. MARY'S	271	113	69.82461022		
REGION__3	ROSS RUN	PENNSYLVANIA	INDIANA	1641	35	43.22484572		
REGION__3	SHIPPEN RUN	PENNSYLVANIA	JEFFERSON	369	15	46.7853321		
REGION__3	WHITE SULFUR RUN	MARYLAND	ALLEGANY	406	16	0		
REGION__3	WEST BRANCH PERKIOMEN	PENNSYLVANIA	MONTGOMERY	2644	38	39.20647703		
REGION__3	OIL CREEK	PENNSYLVANIA	CRAWFORD	1218	14	54.96876612		
REGION__3	PATUXENT RIVER	MARYLAND	PRINCE GEORGE'S	1431	86	49.00790769		
REGION__3	MESSERS RUN	PENNSYLVANIA	SCHUYLKILL	109	1	55.62570642		
REGION__3	PAW PAW CREEK	WEST VIRGINIA	MARION	206	13	42.60802479		
REGION__3	WASSAHICKON CREEK	PENNSYLVANIA	MONTGOMERY	328	27	12.98205628		
REGION__3	WOLFDEN CREEK	MARYLAND	CHARLES	381	16	77.82381785		
REGION__3	UNNAMED TRIB. TO MCDOWELL RUN	PENNSYLVANIA	BUTLER	3631	12	22.32442237		
REGION__3	GEORGES RUN	PENNSYLVANIA	WASHINGTON	674	26	22.88071289		
REGION__3	BLACKBIRD CREEK	DELAWARE	NEW CASTLE	2078	37	68.2938634		
REGION__3	LAUREL CREEK	WEST VIRGINIA	FAYETTE	394	2	32.2275994		
REGION__3	BARNABY RUN	MARYLAND	PRINCE GEORGE'S	1054	19	25.79433426		
REGION__3	WEST BRANCH MILL CREEK	PENNSYLVANIA	TIOGA	595	4	72.8712129		
REGION__3	MCNUFF BRANCH	PENNSYLVANIA	CAMERON	127	3	75.97930584		
REGION__3	LITTLE RIVER	VIRGINIA	FLOYD	605	16	47.61493902		
REGION__3	FOX CREEK	VIRGINIA	BUCHANAN	76	6	66.4761591		
REGION__3	THUMB RUN	VIRGINIA	FAUQUIER	785	133	32.17420348		
REGION__3	LITTLE GOBLINTOWN CREEK	VIRGINIA	PATRICK	90	3	52.6207872		
REGION__3	LITTLE STONY CREEK	VIRGINIA	SCOTT	66	2	62.60744211		
REGION__3	LITTLE MARYS CREEK	VIRGINIA	ROCKBRIDGE	348	100	47.91268284		
REGION__3	BRIERY CREEK	VIRGINIA	PRINCE EDWARD	438	21	10.81617534		
REGION__3	BAR BRANCH	VIRGINIA	PITTSYLVANIA	185	37	37.7396734		
REGION__3	PEAK CREEK	VIRGINIA	PULASKI	1235	5	39.38552783		
REGION__3	DADDY RUN	VIRGINIA	AUGUSTA	276	1	49.54554607		
REGION__3	ORRIX CREEK	VIRGINIA	BEDFORD	440	36	39.92623922		
REGION__3	ST. CLAIR CREEK	VIRGINIA	SMYTH	761	10	54.09732126		
REGION__3	WARDS CREEK	VIRGINIA	ALBEMARLE	155	10	60.50472946		
REGION__3	TYE RIVER	VIRGINIA	NELSON	100	19	62.78228006		
REGION__3	RATTLESNAKE CREEK	VIRGINIA	BRUNSWICK	264	44	26.87594617		
REGION__3	BOWES BRANCH	VIRGINIA	HALIFAX	335	18	14.11480818		
REGION__3	BIG REED ISLAND	VIRGINIA	CARROLL	781	20	51.15391591		
REGION__3	UT TO DRAGON SWAMP	VIRGINIA	MIDDLESEX	1840	112	46.98640629		
REGION__3	UT LITTLE SENECA CREEK	VIRGINIA	CAMPBELL	996	72	42.48174187		
REGION__3	BLACKWATER RIVER	VIRGINIA	FRANKLIN	718	59	56.32286954		
REGION__3	PO RIVER	VIRGINIA	SPOTSYLVANIA	355	31	20.37399067		
REGION__3	NORTH FORK GOOSE CREEK	VIRGINIA	LOUDOUN	566	38	23.30474847		
REGION__3	UT TO MERRIMAN RUN	VIRGINIA	BEDFORD	561	116	17.83689618		
REGION__3	UT LITTLE LINCKING HOLE CREEK	VIRGINIA	GOOCHLAND	150	22	35.10379682		
REGION__3	BEAVER CREEK	VIRGINIA	HENRY	579	31	32.07629968		
REGION__3	WRECK ISLAND CREEK	VIRGINIA	APPOMATTOX	286	12	46.24433755		
REGION__3	POSSUM CREEK	VIRGINIA	SCOTT	684	18	51.86547915		
REGION__3	FINK'S RUN	VIRGINIA	MADISON	344	30	61.68608377		
REGION__3	CEDAR CREEK	VIRGINIA	SHENANDOAH	135	2	82.90115265		
REGION__3	SHAWUERS RUN	VIRGINIA	ALLEGHANY	128	2	62.54644502		
REGION__3	MILL CREEK	VIRGINIA	BATH	130	2	73.2841763		
REGION__3	FLAT CREEK	VIRGINIA	AMELIA	580	34	36.33151628		
REGION__3	KITS CREEK	VIRGINIA	LUNENBURG	1509	95	12.37879452		
REGION__3	DICKS CREEK	VIRGINIA	CRAIG	343	38	47.7288111		
REGION__3	SOUTH FORK HOLSTON RIVER	VIRGINIA	SMYTH	568	6	86.23595678		
REGION__3	ROCKFISH RIVER	VIRGINIA	NELSON	298	20	52.7446739		
REGION__3	HUNTS CREEK	VIRGINIA	BUCKINGHAM	198	5	61.31494		
REGION__3	DAN RIVER	VIRGINIA	PATRICK	535	18	65.98712998		
REGION__3	STONY FORK	VIRGINIA	WYTHE	170	3	53.27525298		
REGION__3	REED CREEK	VIRGINIA	BEDFORD	674	30	59.23370549		
REGION__4	MIDDLE FORK KENTUCKY RIVER	KENTUCKY	LESLIE	815	1	36.98270105		
REGION__4	TOWN CREEK	ALABAMA	DEKALB	963	24	34.90310062		
REGION__4	MUD CREEK	ALABAMA	JEFFERSON	93	3	34.78422732		
REGION__4	EAST TOXAWAY CREEK	SOUTH CAROLINA	OCONEE	130	23	19.73905959		
REGION__4	MIDDLE CREEK	KENTUCKY	JEFFERSON	220	9	16.07147454		
REGION__4	MOUNTAINTOWN CREEK	GEORGIA	GILMER	150	8	53.23140864		
REGION__4	CAMPBELL CREEK	GEORGIA	MORGAN	521	24	35.76032855		
REGION__4	WELLS CREEK	TENNESSEE	HOUSTON	414	20	51.42428468		
REGION__4	RABBIT CREEK	ALABAMA	CLARKE	379	7	53.30851048		
REGION__4	SOUTH FORK INDIAN CREEK	KENTUCKY	WHITLEY	1026	2	10.72895055		
REGION__4	GAMMON CREEK	TENNESSEE	SULLIVAN	1640	4	22.61798182		
REGION__4	DIXON BRANCH	TENNESSEE	LAWRENCE	890	5	64.08449518		
REGION__4	GASPER RIVER	KENTUCKY	WARREN	2189	100	28.91839184		
REGION__4	COSBY CREEK	TENNESSEE	COCKE	99	5	57.66830704		
REGION__4	EARLY CREEK	ALABAMA	ST. CLAIR	856	22	56.93033374		
REGION__4	UT ELK CREEK	NORTH CAROLINA	ALLEGHANY	1550	526	32.25670815		
REGION__4	TRIBUTARY TO MOSSY CREEK	GEORGIA	WHITE	1000	21	27.17647916		
REGION__4	UT NEW RIVER	NORTH CAROLINA	ALLEGHANY	844	138	62.04179032		
REGION__4	MIDDLE CREEK	TENNESSEE	SEVIER	471	49	56.8199048		
REGION__4	DRAKE CREEK	TENNESSEE	SUMNER	462	11	35.64667617		
REGION__4	SINKING CREEK	TENNESSEE	COCKE	393	5	36.17154387		
REGION__4	MOTT'S BRANCH	NORTH CAROLINA	WILKES	71	23	56.09352249		
REGION__4	SINKING CREEK	KENTUCKY	BRECKINRIDGE	1449	45	28.08204439		
REGION__4	HURRICANE CREEK	TENNESSEE	HENDERSON	244	17	30.68536052		
REGION__4	LITTLE BOGUE HOMO CREEK	MISSISSIPPI	JONES	506	19	57.06971864		
REGION__4	DUNKER'S CREEK	NORTH CAROLINA	DAVIDSON	1303	110	15.49266399		
REGION__4	UNKNOWN	MISSISSIPPI	CLARKE	221	34	51.95001928		
REGION__4	DAVIS BRANCH	KENTUCKY	MARTIN	444	12	32.04265587		
REGION__4	JOHNS CREEK	KENTUCKY	PIKE	1280	4	28.21712232		
REGION__4	UT TO SOUTH FORK LITTLE RIVER	KENTUCKY	CHRISTIAN	4300	43	27.62882104		
REGION__4	HURST BRANCH	FLORIDA	ESCAMBIA	1376	3	36.78802855		
REGION__4	CLEAR CREEK	TENNESSEE	GREENE	1680	65	34.94289837		
REGION__4	OLDFIELD CREEK	FLORIDA	DUVAL	513	71	31.69528246		
REGION__4	PEA CREEK	ALABAMA	COFFEE	399	9	61.16417034		
REGION__4	COLES CREEK	MISSISSIPPI	CALHOUN	213	53	45.90940667		
REGION__4	CHEWALCA CREEK	ALABAMA	LEE	684	54	9.292990274		
REGION__4	FOX CREEK	KENTUCKY	FLEMING	798	25	26.11739725		
REGION__4	BIG BRANCH	GEORGIA	GORDON	1860	102	25.83060165		
REGION__4	OLD TOWN CREEK	TENNESSEE	CLAIBORNE	344	18	26.71248249		
REGION__4	RUFF CREEK	GEORGIA	CHATTOOGA	320	4	50.64135244		
REGION__4	NO NAME	ALABAMA	COOSA	340	33	28.43806585		
REGION__4	WEST FORK PIGEON RIVER	NORTH CAROLINA	HAYWOOD	74	1	77.39220471		
REGION__4	CLARKS CREEK	KENTUCKY	GRANT	770	173	14.68622768		
REGION__4	UT DOUBLE BRANCH	NORTH CAROLINA	BURKE	143	18	43.29745981		
REGION__4	HURRICANE CREEK	GEORGIA	LUMPKIN	56	2	51.73533197		
REGION__4	SMOKEY CREEK	KENTUCKY	CARTER	367	3	48.72281526		
REGION__4	COWHIDE SLOUGH	KENTUCKY	DAVIESS	1301	277	10.05153587		
REGION__4	RIPLEY CREEK	TENNESSEE	GREENE	1883	12	40.99080248		
REGION__4	JORDAN RIVER	MISSISSIPPI	HANCOCK	458	31	75.02250888		
REGION__4	RED OAK CREEK	GEORGIA	MERIWETHER	294	10	20.895721		
REGION__4	LITTLE SHADES CREEK	ALABAMA	JEFFERSON	521	1	18.64023824		
REGION__4	EAST FORK BARREL RIVER	KENTUCKY	MONROE	1100	34	43.46131257		
REGION__4	SANDYMUSH CREEK	NORTH CAROLINA	BUNCOMBE	1530	40	40.34888694		
REGION__4	BUMBEE CREEK	TENNESSEE	BLEDSOE	645	42	4.638233479		
REGION__4	FALLING CREEK	NORTH CAROLINA	GREENE	2181	607	2.083333333		
REGION__4	LITTLE TALLAHATCHEE CREEK	ALABAMA	CALHOUN	129	2	34.54783263		
REGION__4	WEST FORK LINVILLE RIVER	NORTH CAROLINA	AVERY	236	17	70.10819272		
REGION__4	POPLAR CREEK	TENNESSEE	MORGAN	225	5	59.59134153		
REGION__4	YOCUM CREEK	KENTUCKY	MORGAN	552	10	44.34509055		
REGION__4	U.T. TO BLAKE FORK	KENTUCKY	WHITLEY	720	18	49.84167124		
REGION__4	BOGUE PHALIA	MISSISSIPPI	WASHINGTON	508	119	53.35696933		
REGION__4	SHORT CREEK	ALABAMA	JEFFERSON	294	1	27.25934046		
REGION__4	POUNDING MILL	NORTH CAROLINA	CLAY	74	10	71.42625284		
REGION__4	NO NAME	FLORIDA	JEFFERSON	643	56	19.29138688		
REGION__4	MOORE'S CREEK	NORTH CAROLINA	BUNCOMBE	1289	15	36.73280076		
REGION__4	LONDON BRANCH	TENNESSEE	BRADLEY	360	15	15.9885633		
REGION__4	GLADY CREEK	GEORGIA	JONES	153	15	12.19654721		
REGION__4	NO NAME	ALABAMA	MARION	160	22	60.62294392		
REGION__4	BIG BEAVER CREEK	SOUTH CAROLINA	CALHOUN	154	46	91.95305279		
REGION__4	UT STEVEN'S CREEK	NORTH CAROLINA	MECKLENBURG	290	29	19.99715436		
REGION__4	MILLERS CREEK	TENNESSEE	ROBERTSON	1628	11	33.55578398		
REGION__4	NNT MURDER CREEK	ALABAMA	MONROE	331	16	69.58378925		
REGION__4	ROCKY CREEK	GEORGIA	GREENE	133	21	22.51664298		
REGION__4	MIDDLETON CREEK	MISSISSIPPI	AMITE	225	26	61.98647939		
REGION__4	UNNAMED TRIB TITUS CREEK	TENNESSEE	CAMPBELL	68	10	38.7059967		
REGION__4	UNNAMED CREEK	MISSISSIPPI	SIMPSON	534	62	38.54795473		
REGION__4	RIGHT PRONG LEDGE CREEK	NORTH CAROLINA	SWAIN	244	4	76.61509234		
REGION__4	LAUREL CREEK	TENNESSEE	GRUNDY	514	76	3.222480021		
REGION__4	KERR BRANCH	TENNESSEE	HARDIN	296	5	59.94850748		
REGION__4	BLUE WATER CREEK	FLORIDA	ESCAMBIA	268	2	64.50081194		
REGION__4	SOUTH FORK TOMS CREEK	NORTH CAROLINA	MCDOWELL	25	21	69.68686794		
REGION__4	STAMP CREEK	GEORGIA	BARTOW	54	16	60.70445284		
REGION__4	ELK HOLLOW BRANCH	NORTH CAROLINA	AVERY	470	11	76.33218231		
REGION__4	QUINN CREEK	NORTH CAROLINA	CHEROKEE	61	3	41.36971142		
REGION__4	BUFFALO CREEK	NORTH CAROLINA	MOORE	444	65	48.11770832		
REGION__4	COLDWATER RIVER	MISSISSIPPI	MARSHALL	366	12	43.21675835		
REGION__4	FINIKOCHIKA CR.	ALABAMA	COOSA	179	14	50.16897507		
REGION__4	BIG FLAT CREEK	TENNESSEE	UNION	678	21	54.077726		
REGION__4	UPPER DEVIL CREEK	KENTUCKY	WOLFE	104	2	51.43021441		
REGION__4	FALL CREEK	TENNESSEE	UNION	641	31	51.9158906		
REGION__4	LITTLE COON CREEK	ALABAMA	JACKSON	337	9	25.93104922		
REGION__4	PINEY WOODS CREEK	ALABAMA	SHELBY	94	17	38.38188277		
REGION__4	UNKNOWN	NORTH CAROLINA	TRANSYLVANIA	334	57	49.58723502		
REGION__4	SOUTH BENSON CREEK	KENTUCKY	FRANKLIN	948	182	30.48209321		
REGION__4	SUGAR CREEK TRIB.	GEORGIA	MURRAY	38	2	54.99771621		
REGION__4	UNKNOWN	SOUTH CAROLINA	FAIRFIELD	295	24	6.039426371		
REGION__4	DRY CREEK	KENTUCKY	LAWRENCE	196	4	55.00273314		
REGION__4	HORSE CREEK	MISSISSIPPI	CARROLL	101	32	67.51676726		
REGION__5	EAST BUREAU CREEK	ILLINOIS	BUREAU	9994	72	60.42501706		
REGION__5	HEMLOCK CREEK	WISCONSIN	WOOD	1075	334	31.30016758		
REGION__5	WHITNEY CREEK	MICHIGAN	IOSCO	564	24	42.03215336		
REGION__5	DIAMOND VALLEY CREEK	WISCONSIN	EAU CLAIRE	3876	534	16.49474664		
REGION__5	INDIAN CREEK	ILLINOIS	MADISON	474	151	29.23740382		
REGION__5	BLACK RIVER	MICHIGAN	GOGEBIC	391	21	40.41686323		
REGION__5	UNNAMED CREEK	WISCONSIN	GRANT	15650	67	3.494702149		
REGION__5	RICE RIVER	MINNESOTA	AITKIN	1024	51	45.25609558		
REGION__5	RAILROAD CREEK	ILLINOIS	HANCOCK	634	114	39.25584218		
REGION__5	COUNTY DITCH #31	MINNESOTA	SIBLEY	3438	41	38.05617956		
REGION__5	EAST BRANCH GREEN CREEK	ILLINOIS	EFFINGHAM	9538	1632	11.35581623		
REGION__5	BRUSH CREEK	OHIO	ADAMS	509	27	33.89200719		
REGION__5	UNNAMED TRIBUTARY TO NORTH POOL	MINNESOTA	CHISAGO	898	55	43.07380857		
REGION__5	UNNAMED CREEK	WISCONSIN	SAUK	1406	118	19.85113662		
REGION__5	DUTCHMAN CREEK	WISCONSIN	DOUGLAS	924	78	25.28967575		
REGION__5	RACCOON CREEK	OHIO	LICKING	1700	45	18.65855689		
REGION__5	UNNAMED CREEK	WISCONSIN	JACKSON	324	15	42.9243837		
REGION__5	CEDAR RIVER	MICHIGAN	MENOMINEE	545	7	61.38148986		
REGION__5	EEL RIVER	INDIANA	CLAY	941	74	23.86027296		
REGION__5	CRAB CREEK	OHIO	MAHONING	231	14	23.48182354		
REGION__5	BEAVER CREEK	ILLINOIS	BOND	1379	292	13.87781552		
REGION__5	WEST BRANCH NIMISHILLEN CREEK	OHIO	STARK	881	15	21.7307187		
REGION__5	LITTLE MANISTEE RIVER	MICHIGAN	LAKE	191	6	62.28793433		
REGION__5	CLEARWATER CREEK	WISCONSIN	LANGLADE	610	157	19.29679377		
REGION__5	PESHTIGO RIVER	WISCONSIN	FOREST	234	9	65.25937995		
REGION__5	STONY CREEK	ILLINOIS	VERMILION	4606	408	53.18779104		
REGION__5	PEBBLE CREEK	WISCONSIN	WAUKESHA	2469	22	40.16191392		
REGION__5	LITTLE WALNUT CREEK	OHIO	FAIRFIELD	513	29	53.79877723		
REGION__5	BLACK BROOK	MINNESOTA	MILLE LACS	1129	18	36.9765086		
REGION__5	BLACK CREEK	MICHIGAN	ALGER	640	17	71.58308958		
REGION__5	NNT PLUNGE CREEK	INDIANA	KOSCIUSKO	2647	618	10.13403409		
REGION__5	SOUTH BRANCH WHITE RIVER	MICHIGAN	OCEANA	687	26	45.19364511		
REGION__5	SOUTH FORK MAIN CREEK	WISCONSIN	RUSK	625	185	45.19353673		
REGION__5	LITTLE BLUE RIVER	INDIANA	RUSH	2292	31	82.58597693		
REGION__5	NO NAME	MICHIGAN	ST. JOSEPH	1488	13	34.72522379		
REGION__5	UNNAMED TRIB MORRISON CRK	OHIO	SENECA	1591	304	22.48410472		
REGION__5	UNNAMEC TRIB CACHE RIVER	ILLINOIS	UNION	745	69	43.58084477		
REGION__5	EAST FORK WHITE OAK CREEK	OHIO	BROWN	1348	144	52.38225158		
REGION__5	BATTLE RIVER	MINNESOTA	BELTRAMI	638	45	40.43220473		
REGION__5	CRANBERRY CREEK	MICHIGAN	CLARE	320	3	54.57946985		
REGION__5	CLEAR FORK LITTLE PIRSKINGUM	OHIO	MONROE	295	6	49.4947396		
REGION__5	CROSS RIVER	MINNESOTA	COOK	518	8	49.93034943		
REGION__5	ASHTABULA CREEK	OHIO	ASHTABULA	1469	16	47.09770746		
REGION__5	LITTLE CANNON RIVER	MINNESOTA	GOODHUE	3213	17	78.34240683		
REGION__5	WILLOW BROOK	MINNESOTA	PINE	913	32	70.51090545		
REGION__5	MOSQUITO CREEK	ILLINOIS	HENRY	11069	375	38.24235093		
REGION__5	UNKNOWN	OHIO	LAWRENCE	670	5	22.78045193		
REGION__5	JUDICIAL DITCH #18	MINNESOTA	MEEKER	1861	161	37.59708497		
REGION__5	SPRINGVILLE BRANCH BAD AXE RIVER	WISCONSIN	VERNON	3980	71	5.496630579		
REGION__5	GARDNER	WISCONSIN	SHAWANO	989	18	29.57060747		
REGION__5	MIDDLE FK. WILDCAT CR.	INDIANA	CARROLL	3750	67	51.3312642		
REGION__5	BEAVER CREEK	OHIO	GEAUGA	329	15	16.10248783		
REGION__5	UNKNOWN	ILLINOIS	DEKALB	33350	98	10.17506185		
REGION__5	OTTAWA CREEK	OHIO	HANCOCK	564	87	48.41346685		
REGION__5	BOTTOM CREEK	MICHIGAN	LAPEER	858	12	31.85457442		
REGION__5	BURNS CREEK	WISCONSIN	LA CROSSE	1971	89	31.43841356		
REGION__5	MIDDLE INLET	WISCONSIN	MARINETTE	234	3	58.20035413		
