# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-09-04 11:28:39 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01091000 SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01091000
#            TS   parameter     statistic     Description
#         64046       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64046_00060_00003	64046_00060_00003_cd
USGS	01091000	2023-10-30	171	A
USGS	01091000	2023-10-31	298	A
USGS	01091000	2023-11-01	200	A
USGS	01091000	2023-11-02	149	A
USGS	01091000	2023-11-03	129	A
USGS	01091000	2023-11-04	124	A
USGS	01091000	2023-11-05	114	A
USGS	01091000	2023-11-06	107	A
USGS	01091000	2023-11-07	105	A
USGS	01091000	2023-11-08	100	A
USGS	01091000	2023-11-09	96.0	A
USGS	01091000	2023-11-10	104	A
USGS	01091000	2023-11-11	99.1	A
USGS	01091000	2023-11-12	93.3	A
USGS	01091000	2023-11-13	92.0	A
USGS	01091000	2023-11-14	89.8	A
USGS	01091000	2023-11-15	94.6	A
USGS	01091000	2023-11-16	89.4	A
USGS	01091000	2023-11-17	83.0	A
USGS	01091000	2023-11-18	87.5	A
USGS	01091000	2023-11-19	93.3	A
USGS	01091000	2023-11-20	87.5	A
USGS	01091000	2023-11-21	78.9	A
USGS	01091000	2023-11-22	149	A
USGS	01091000	2023-11-23	320	A
USGS	01091000	2023-11-24	261	A
USGS	01091000	2023-11-25	192	A
USGS	01091000	2023-11-26	152	A
USGS	01091000	2023-11-27	258	A
USGS	01091000	2023-11-28	268	A
USGS	01091000	2023-11-29	196	A
USGS	01091000	2023-11-30	157	A
USGS	01091000	2023-12-01	146	A
USGS	01091000	2023-12-02	150	A
USGS	01091000	2023-12-03	158	A
USGS	01091000	2023-12-04	378	A
USGS	01091000	2023-12-05	350	A
USGS	01091000	2023-12-06	249	A
USGS	01091000	2023-12-07	196	A
USGS	01091000	2023-12-08	174	A
USGS	01091000	2023-12-09	160	A
USGS	01091000	2023-12-10	173	A
USGS	01091000	2023-12-11	1100	A
USGS	01091000	2023-12-12	803	A
USGS	01091000	2023-12-13	463	A
USGS	01091000	2023-12-14	332	A
USGS	01091000	2023-12-15	275	A
USGS	01091000	2023-12-16	251	A
USGS	01091000	2023-12-17	230	A
USGS	01091000	2023-12-18	2370	A
USGS	01091000	2023-12-19	2510	A
USGS	01091000	2023-12-20	1030	A
USGS	01091000	2023-12-21	660	A
USGS	01091000	2023-12-22	483	A
USGS	01091000	2023-12-23	392	A
USGS	01091000	2023-12-24	358	A
USGS	01091000	2023-12-25	343	A
USGS	01091000	2023-12-26	321	A
USGS	01091000	2023-12-27	321	A
USGS	01091000	2023-12-28	406	A
USGS	01091000	2023-12-29	498	A
USGS	01091000	2023-12-30	399	A
USGS	01091000	2023-12-31	333	A
USGS	01091000	2024-01-01	281	A
USGS	01091000	2024-01-02	246	A
USGS	01091000	2024-01-03	225	A
USGS	01091000	2024-01-04	217	A
USGS	01091000	2024-01-05	195	A
USGS	01091000	2024-01-06	188	A
USGS	01091000	2024-01-07	188	A
USGS	01091000	2024-01-08	196	A:e
USGS	01091000	2024-01-09	197	A:e
USGS	01091000	2024-01-10	1240	A
USGS	01091000	2024-01-11	1160	A
USGS	01091000	2024-01-12	658	A
USGS	01091000	2024-01-13	1270	A
USGS	01091000	2024-01-14	1400	A
USGS	01091000	2024-01-15	734	A
USGS	01091000	2024-01-16	499	A:e
USGS	01091000	2024-01-17	397	A:e
USGS	01091000	2024-01-18	323	A:e
USGS	01091000	2024-01-19	298	A:e
USGS	01091000	2024-01-20	279	A:e
USGS	01091000	2024-01-21	271	A:e
USGS	01091000	2024-01-22	263	A:e
USGS	01091000	2024-01-23	258	A:e
USGS	01091000	2024-01-24	250	A
USGS	01091000	2024-01-25	357	A
USGS	01091000	2024-01-26	670	A
USGS	01091000	2024-01-27	802	A
USGS	01091000	2024-01-28	591	A
USGS	01091000	2024-01-29	511	A
USGS	01091000	2024-01-30	429	A
USGS	01091000	2024-01-31	360	A
USGS	01091000	2024-02-01	326	A
USGS	01091000	2024-02-02	310	A
USGS	01091000	2024-02-03	306	A
USGS	01091000	2024-02-04	269	A
USGS	01091000	2024-02-05	254	A
USGS	01091000	2024-02-06	229	A
USGS	01091000	2024-02-07	215	A
USGS	01091000	2024-02-08	208	A
USGS	01091000	2024-02-09	208	A
USGS	01091000	2024-02-10	219	A
USGS	01091000	2024-02-11	290	A
USGS	01091000	2024-02-12	295	A
USGS	01091000	2024-02-13	260	A
USGS	01091000	2024-02-14	227	A
USGS	01091000	2024-02-15	196	A:e
USGS	01091000	2024-02-16	201	A
USGS	01091000	2024-02-17	188	A
USGS	01091000	2024-02-18	175	A:e
USGS	01091000	2024-02-19	176	A
USGS	01091000	2024-02-20	168	A:e
USGS	01091000	2024-02-21	161	A:e
USGS	01091000	2024-02-22	161	A:e
USGS	01091000	2024-02-23	164	A
USGS	01091000	2024-02-24	176	A
USGS	01091000	2024-02-25	150	A
USGS	01091000	2024-02-26	149	A
USGS	01091000	2024-02-27	155	A
USGS	01091000	2024-02-28	216	A
USGS	01091000	2024-02-29	319	A
USGS	01091000	2024-03-01	221	A
USGS	01091000	2024-03-02	201	A
USGS	01091000	2024-03-03	568	A
USGS	01091000	2024-03-04	467	A
USGS	01091000	2024-03-05	361	A
USGS	01091000	2024-03-06	459	A
USGS	01091000	2024-03-07	1530	A
USGS	01091000	2024-03-08	1220	A
USGS	01091000	2024-03-09	669	A
USGS	01091000	2024-03-10	1310	A
USGS	01091000	2024-03-11	1140	A
USGS	01091000	2024-03-12	665	A
USGS	01091000	2024-03-13	501	A
USGS	01091000	2024-03-14	421	A
USGS	01091000	2024-03-15	442	A
USGS	01091000	2024-03-16	458	A
USGS	01091000	2024-03-17	387	A
USGS	01091000	2024-03-18	338	A
USGS	01091000	2024-03-19	295	A
USGS	01091000	2024-03-20	269	A
USGS	01091000	2024-03-21	242	A
USGS	01091000	2024-03-22	213	A
USGS	01091000	2024-03-23	296	A
USGS	01091000	2024-03-24	748	A
USGS	01091000	2024-03-25	555	A
USGS	01091000	2024-03-26	434	A
USGS	01091000	2024-03-27	434	A
USGS	01091000	2024-03-28	994	A
USGS	01091000	2024-03-29	1450	A
USGS	01091000	2024-03-30	871	A
USGS	01091000	2024-03-31	589	A
USGS	01091000	2024-04-01	469	A
USGS	01091000	2024-04-02	438	P
USGS	01091000	2024-04-03	381	P
USGS	01091000	2024-04-04	525	P:e
USGS	01091000	2024-04-05	539	P
USGS	01091000	2024-04-06	573	P
USGS	01091000	2024-04-07	606	P
USGS	01091000	2024-04-08	656	P
USGS	01091000	2024-04-09	744	P
USGS	01091000	2024-04-10	706	P
USGS	01091000	2024-04-11	601	P
USGS	01091000	2024-04-12	1600	P
USGS	01091000	2024-04-13	1390	P
USGS	01091000	2024-04-14	778	P
USGS	01091000	2024-04-15	587	P
USGS	01091000	2024-04-16	471	P
USGS	01091000	2024-04-17	394	P
USGS	01091000	2024-04-18	360	P
USGS	01091000	2024-04-19	363	P
USGS	01091000	2024-04-20	329	P
USGS	01091000	2024-04-21	298	P
USGS	01091000	2024-04-22	261	P
USGS	01091000	2024-04-23	238	P
USGS	01091000	2024-04-24	223	P
USGS	01091000	2024-04-25	211	P
USGS	01091000	2024-04-26	196	P
USGS	01091000	2024-04-27	184	P
USGS	01091000	2024-04-28	180	P
USGS	01091000	2024-04-29	177	P
USGS	01091000	2024-04-30	183	P
USGS	01091000	2024-05-01	259	P
USGS	01091000	2024-05-02	221	P
USGS	01091000	2024-05-03	199	P
USGS	01091000	2024-05-04	178	P
USGS	01091000	2024-05-05	174	P
USGS	01091000	2024-05-06	282	P
USGS	01091000	2024-05-07	236	P
USGS	01091000	2024-05-08	230	P
USGS	01091000	2024-05-09	294	P
USGS	01091000	2024-05-10	220	P
USGS	01091000	2024-05-11	181	P
USGS	01091000	2024-05-12	161	P
USGS	01091000	2024-05-13	148	P
USGS	01091000	2024-05-14	138	P
USGS	01091000	2024-05-15	130	P
USGS	01091000	2024-05-16	169	P
USGS	01091000	2024-05-17	177	P
USGS	01091000	2024-05-18	146	P
USGS	01091000	2024-05-19	163	P
USGS	01091000	2024-05-20	147	P
USGS	01091000	2024-05-21	139	P
USGS	01091000	2024-05-22	179	P
USGS	01091000	2024-05-23	146	P
USGS	01091000	2024-05-24	117	P
USGS	01091000	2024-05-25	94.5	P
USGS	01091000	2024-05-26	95.0	P
USGS	01091000	2024-05-27	117	P
USGS	01091000	2024-05-28	137	P
USGS	01091000	2024-05-29	119	P
USGS	01091000	2024-05-30	115	P
USGS	01091000	2024-05-31	125	P
USGS	01091000	2024-06-01	92.6	P
USGS	01091000	2024-06-02	77.4	P
USGS	01091000	2024-06-03	73.0	P
USGS	01091000	2024-06-04	70.2	P
USGS	01091000	2024-06-05	57.1	P
USGS	01091000	2024-06-06	54.6	P
USGS	01091000	2024-06-07	53.5	P
USGS	01091000	2024-06-08	49.8	P
USGS	01091000	2024-06-09	62.1	P
USGS	01091000	2024-06-10	86.7	P
USGS	01091000	2024-06-11	66.4	P
USGS	01091000	2024-06-12	55.4	P
USGS	01091000	2024-06-13	52.9	P
USGS	01091000	2024-06-14	46.5	P
USGS	01091000	2024-06-15	46.7	P
USGS	01091000	2024-06-16	44.5	P
USGS	01091000	2024-06-17	37.5	P
USGS	01091000	2024-06-18	34.6	P
USGS	01091000	2024-06-19	33.4	P
USGS	01091000	2024-06-20	33.4	P
USGS	01091000	2024-06-21	49.0	P
USGS	01091000	2024-06-22	57.6	P
USGS	01091000	2024-06-23	94.1	P
USGS	01091000	2024-06-24	127	P
USGS	01091000	2024-06-25	93.6	P
USGS	01091000	2024-06-26	63.0	P
USGS	01091000	2024-06-27	49.2	P
USGS	01091000	2024-06-28	40.2	P
USGS	01091000	2024-06-29	34.9	P
USGS	01091000	2024-06-30	34.8	P
USGS	01091000	2024-07-01	34.8	P
USGS	01091000	2024-07-02	31.4	P
USGS	01091000	2024-07-03	28.0	P
USGS	01091000	2024-07-04	25.4	P
USGS	01091000	2024-07-05	25.4	P
USGS	01091000	2024-07-06	25.6	P
USGS	01091000	2024-07-07	26.9	P
USGS	01091000	2024-07-08	25.2	P
USGS	01091000	2024-07-09	23.4	P
USGS	01091000	2024-07-10	22.3	P
USGS	01091000	2024-07-11	21.1	P
USGS	01091000	2024-07-12	20.1	P
USGS	01091000	2024-07-13	19.5	P
USGS	01091000	2024-07-14	19.3	P
USGS	01091000	2024-07-15	18.9	P
USGS	01091000	2024-07-16	18.5	P
USGS	01091000	2024-07-17	21.3	P
USGS	01091000	2024-07-18	23.4	P
USGS	01091000	2024-07-19	20.0	P
USGS	01091000	2024-07-20	18.3	P
USGS	01091000	2024-07-21	16.5	P
USGS	01091000	2024-07-22	15.5	P
USGS	01091000	2024-07-23	16.5	P
USGS	01091000	2024-07-24	15.9	P
USGS	01091000	2024-07-25	15.7	P
USGS	01091000	2024-07-26	14.2	P
USGS	01091000	2024-07-27	12.9	P
USGS	01091000	2024-07-28	12.1	P
USGS	01091000	2024-07-29	12.2	P
USGS	01091000	2024-07-30	12.1	P
USGS	01091000	2024-07-31	12.0	P
USGS	01091000	2024-08-01	13.2	P
USGS	01091000	2024-08-02	13.7	P
USGS	01091000	2024-08-03	39.9	P
USGS	01091000	2024-08-04	38.6	P
USGS	01091000	2024-08-05	33.8	P
USGS	01091000	2024-08-06	41.7	P
USGS	01091000	2024-08-07	80.9	P
USGS	01091000	2024-08-08	67.1	P
USGS	01091000	2024-08-09	70.0	P
USGS	01091000	2024-08-10	80.9	P
USGS	01091000	2024-08-11	63.6	P
USGS	01091000	2024-08-12	41.8	P
USGS	01091000	2024-08-13	32.6	P
USGS	01091000	2024-08-14	27.4	P
USGS	01091000	2024-08-15	24.8	P
USGS	01091000	2024-08-16	25.1	P
USGS	01091000	2024-08-17	26.5	P
USGS	01091000	2024-08-18	26.4	P
USGS	01091000	2024-08-19	43.2	P
USGS	01091000	2024-08-20	142	P
USGS	01091000	2024-08-21	80.6	P
USGS	01091000	2024-08-22	57.9	P
USGS	01091000	2024-08-23	45.1	P
USGS	01091000	2024-08-24	34.2	P
USGS	01091000	2024-08-25	29.7	P
USGS	01091000	2024-08-26	26.8	P
USGS	01091000	2024-08-27	24.0	P
USGS	01091000	2024-08-28	21.8	P
USGS	01091000	2024-08-29	19.7	P
USGS	01091000	2024-08-30	18.0	P
USGS	01091000	2024-08-31	17.5	P
USGS	01091000	2024-09-01	17.5	P
USGS	01091000	2024-09-02	17.1	P
USGS	01091000	2024-09-03	16.0	P
